date,heure,rang,nb_gagnants,gain_unitaire_eur
08/11/2025,13h,10,0,0
08/11/2025,13h,9L,3,1000
08/11/2025,13h,9,34,500
08/11/2025,13h,8L,224,100
08/11/2025,13h,8,1089,50
08/11/2025,13h,7L,2925,14
08/11/2025,13h,7,14316,7
08/11/2025,13h,6L,16468,2
08/11/2025,13h,6,82758,1
08/11/2025,13h,0L,171310,1
08/11/2025,14h,10,1,200000
08/11/2025,14h,9L,7,1000
08/11/2025,14h,9,23,500
08/11/2025,14h,8L,182,100
08/11/2025,14h,8,870,50
08/11/2025,14h,7L,2061,14
08/11/2025,14h,7,10483,7
08/11/2025,14h,6L,11256,2
08/11/2025,14h,6,57183,1
08/11/2025,14h,0L,132273,1
08/11/2025,15h,10,1,100000
08/11/2025,15h,9L,6,1000
08/11/2025,15h,9,21,500
08/11/2025,15h,8L,190,100
08/11/2025,15h,8,984,50
08/11/2025,15h,7L,2309,14
08/11/2025,15h,7,11669,7
08/11/2025,15h,6L,12860,2
08/11/2025,15h,6,64891,1
08/11/2025,15h,0L,134706,1
08/11/2025,16h,10,0,0
08/11/2025,16h,9L,5,1000
08/11/2025,16h,9,41,500
08/11/2025,16h,8L,200,100
08/11/2025,16h,8,1125,50
08/11/2025,16h,7L,2663,14
08/11/2025,16h,7,13201,7
08/11/2025,16h,6L,13650,2
08/11/2025,16h,6,67533,1
08/11/2025,16h,0L,131454,1
08/11/2025,17h,10,0,0
08/11/2025,17h,9L,4,1000
08/11/2025,17h,9,37,500
08/11/2025,17h,8L,205,100
08/11/2025,17h,8,986,50
08/11/2025,17h,7L,2417,14
08/11/2025,17h,7,11753,7
08/11/2025,17h,6L,13185,2
08/11/2025,17h,6,65424,1
08/11/2025,17h,0L,133146,1
08/11/2025,18h,10,0,0
08/11/2025,18h,9L,17,1000
08/11/2025,18h,9,61,500
08/11/2025,18h,8L,320,100
08/11/2025,18h,8,1422,50
08/11/2025,18h,7L,2813,14
08/11/2025,18h,7,14025,7
08/11/2025,18h,6L,13644,2
08/11/2025,18h,6,67796,1
08/11/2025,18h,0L,137697,1
08/11/2025,19h,10,1,400000
08/11/2025,19h,9L,2,1000
08/11/2025,19h,9,31,500
08/11/2025,19h,8L,269,100
08/11/2025,19h,8,1241,50
08/11/2025,19h,7L,3082,14
08/11/2025,19h,7,15032,7
08/11/2025,19h,6L,16999,2
08/11/2025,19h,6,85690,1
08/11/2025,19h,0L,192927,1
15/11/2025,13h,10,0,0
15/11/2025,13h,9L,5,1000
15/11/2025,13h,9,34,500
15/11/2025,13h,8L,222,100
15/11/2025,13h,8,1127,50
15/11/2025,13h,7L,2510,14
15/11/2025,13h,7,13069,7
15/11/2025,13h,6L,14617,2
15/11/2025,13h,6,73024,1
15/11/2025,13h,0L,151658,1
15/11/2025,14h,10,0,0
15/11/2025,14h,9L,3,1000
15/11/2025,14h,9,21,500
15/11/2025,14h,8L,170,100
15/11/2025,14h,8,898,50
15/11/2025,14h,7L,2423,14
15/11/2025,14h,7,12076,7
15/11/2025,14h,6L,12958,2
15/11/2025,14h,6,64964,1
15/11/2025,14h,0L,124279,1
15/11/2025,15h,10,0,0
15/11/2025,15h,9L,4,1000
15/11/2025,15h,9,20,500
15/11/2025,15h,8L,182,100
15/11/2025,15h,8,870,50
15/11/2025,15h,7L,2218,14
15/11/2025,15h,7,10985,7
15/11/2025,15h,6L,12244,2
15/11/2025,15h,6,60587,1
15/11/2025,15h,0L,130941,1
15/11/2025,16h,10,0,0
15/11/2025,16h,9L,4,1000
15/11/2025,16h,9,18,500
15/11/2025,16h,8L,156,100
15/11/2025,16h,8,714,50
15/11/2025,16h,7L,2067,14
15/11/2025,16h,7,10447,7
15/11/2025,16h,6L,12271,2
15/11/2025,16h,6,60900,1
15/11/2025,16h,0L,131626,1
15/11/2025,17h,10,1,500000
15/11/2025,17h,9L,4,1000
15/11/2025,17h,9,21,500
15/11/2025,17h,8L,161,100
15/11/2025,17h,8,881,50
15/11/2025,17h,7L,2246,14
15/11/2025,17h,7,10974,7
15/11/2025,17h,6L,12118,2
15/11/2025,17h,6,60654,1
15/11/2025,17h,0L,133451,1
15/11/2025,18h,10,0,0
15/11/2025,18h,9L,4,1000
15/11/2025,18h,9,26,500
15/11/2025,18h,8L,178,100
15/11/2025,18h,8,802,50
15/11/2025,18h,7L,2104,14
15/11/2025,18h,7,10668,7
15/11/2025,18h,6L,12057,2
15/11/2025,18h,6,61082,1
15/11/2025,18h,0L,136220,1
15/11/2025,19h,10,0,0
15/11/2025,19h,9L,10,1192
15/11/2025,19h,9,49,606.1
15/11/2025,19h,8L,316,125.3
15/11/2025,19h,8,1607,62.4
15/11/2025,19h,7L,3541,18.1
15/11/2025,19h,7,17377,9.8
15/11/2025,19h,6L,18031,3
15/11/2025,19h,6,90125,1.5
15/11/2025,19h,0L,175515,1.1
22/11/2025,13h,10,0,0
