date,heure,rang,nb_gagnants,gain_unitaire_eur,gain_total_eur
08/11/2025,13h,10,0,0,0
08/11/2025,13h,9L,3,1000,3000
08/11/2025,13h,9,34,500,17000
08/11/2025,13h,8L,224,100,22400
08/11/2025,13h,8,1089,50,54450
08/11/2025,13h,7L,2925,14,40950
08/11/2025,13h,7,14316,7,100212
08/11/2025,13h,6L,16468,2,32936
08/11/2025,13h,6,82758,1,82758
08/11/2025,13h,0L,171310,1,171310
08/11/2025,14h,10,1,200000,200000
08/11/2025,14h,9L,7,1000,7000
08/11/2025,14h,9,23,500,11500
08/11/2025,14h,8L,182,100,18200
08/11/2025,14h,8,870,50,43500
08/11/2025,14h,7L,2061,14,28854
08/11/2025,14h,7,10483,7,73381
08/11/2025,14h,6L,11256,2,22512
08/11/2025,14h,6,57183,1,57183
08/11/2025,14h,0L,132273,1,132273
08/11/2025,15h,10,1,100000,100000
08/11/2025,15h,9L,6,1000,6000
08/11/2025,15h,9,21,500,10500
08/11/2025,15h,8L,190,100,19000
08/11/2025,15h,8,984,50,49200
08/11/2025,15h,7L,2309,14,32326
08/11/2025,15h,7,11669,7,81683
08/11/2025,15h,6L,12860,2,25720
08/11/2025,15h,6,64891,1,64891
08/11/2025,15h,0L,134706,1,134706
08/11/2025,16h,10,0,0,0
08/11/2025,16h,9L,5,1000,5000
08/11/2025,16h,9,41,500,20500
08/11/2025,16h,8L,200,100,20000
08/11/2025,16h,8,1125,50,56250
08/11/2025,16h,7L,2663,14,37282
08/11/2025,16h,7,13201,7,92407
08/11/2025,16h,6L,13650,2,27300
08/11/2025,16h,6,67533,1,67533
08/11/2025,16h,0L,131454,1,131454
08/11/2025,17h,10,0,0,0
08/11/2025,17h,9L,4,1000,4000
08/11/2025,17h,9,37,500,18500
08/11/2025,17h,8L,205,100,20500
08/11/2025,17h,8,986,50,49300
08/11/2025,17h,7L,2417,14,33838
08/11/2025,17h,7,11753,7,82271
08/11/2025,17h,6L,13185,2,26370
08/11/2025,17h,6,65424,1,65424
08/11/2025,17h,0L,133146,1,133146
08/11/2025,18h,10,0,0,0
08/11/2025,18h,9L,17,1000,17000
08/11/2025,18h,9,61,500,30500
08/11/2025,18h,8L,320,100,32000
08/11/2025,18h,8,1422,50,71100
08/11/2025,18h,7L,2813,14,39382
08/11/2025,18h,7,14025,7,98175
08/11/2025,18h,6L,13644,2,27288
08/11/2025,18h,6,67796,1,67796
08/11/2025,18h,0L,137697,1,137697
08/11/2025,19h,10,1,400000,400000
08/11/2025,19h,9L,2,1000,2000
08/11/2025,19h,9,31,500,15500
08/11/2025,19h,8L,269,100,26900
08/11/2025,19h,8,1241,50,62050
08/11/2025,19h,7L,3082,14,43148
08/11/2025,19h,7,15032,7,105224
08/11/2025,19h,6L,16999,2,33998
08/11/2025,19h,6,85690,1,85690
08/11/2025,19h,0L,192927,1,192927
15/11/2025,13h,10,0,0,0
15/11/2025,13h,9L,5,1000,5000
15/11/2025,13h,9,34,500,17000
15/11/2025,13h,8L,222,100,22200
15/11/2025,13h,8,1127,50,56350
15/11/2025,13h,7L,2510,14,35140
15/11/2025,13h,7,13069,7,91483
15/11/2025,13h,6L,14617,2,29234
15/11/2025,13h,6,73024,1,73024
15/11/2025,13h,0L,151658,1,151658
15/11/2025,14h,10,0,0,0
15/11/2025,14h,9L,3,1000,3000
15/11/2025,14h,9,21,500,10500
15/11/2025,14h,8L,170,100,17000
15/11/2025,14h,8,898,50,44900
15/11/2025,14h,7L,2423,14,33922
15/11/2025,14h,7,12076,7,84532
15/11/2025,14h,6L,12958,2,25916
15/11/2025,14h,6,64964,1,64964
15/11/2025,14h,0L,124279,1,124279
15/11/2025,15h,10,0,0,0
15/11/2025,15h,9L,4,1000,4000
15/11/2025,15h,9,20,500,10000
15/11/2025,15h,8L,182,100,18200
15/11/2025,15h,8,870,50,43500
15/11/2025,15h,7L,2218,14,31052
15/11/2025,15h,7,10985,7,76895
15/11/2025,15h,6L,12244,2,24488
15/11/2025,15h,6,60587,1,60587
15/11/2025,15h,0L,130941,1,130941
15/11/2025,16h,10,0,0,0
15/11/2025,16h,9L,4,1000,4000
15/11/2025,16h,9,18,500,9000
15/11/2025,16h,8L,156,100,15600
15/11/2025,16h,8,714,50,35700
15/11/2025,16h,7L,2067,14,28938
15/11/2025,16h,7,10447,7,73129
15/11/2025,16h,6L,12271,2,24542
15/11/2025,16h,6,60900,1,60900
15/11/2025,16h,0L,131626,1,131626
15/11/2025,17h,10,1,500000,500000
15/11/2025,17h,9L,4,1000,4000
15/11/2025,17h,9,21,500,10500
15/11/2025,17h,8L,161,100,16100
15/11/2025,17h,8,881,50,44050
15/11/2025,17h,7L,2246,14,31444
15/11/2025,17h,7,10974,7,76818
15/11/2025,17h,6L,12118,2,24236
15/11/2025,17h,6,60654,1,60654
15/11/2025,17h,0L,133451,1,133451
15/11/2025,18h,10,0,0,0
15/11/2025,18h,9L,4,1000,4000
15/11/2025,18h,9,26,500,13000
15/11/2025,18h,8L,178,100,17800
15/11/2025,18h,8,802,50,40100
15/11/2025,18h,7L,2104,14,29456
15/11/2025,18h,7,10668,7,74676
15/11/2025,18h,6L,12057,2,24114
15/11/2025,18h,6,61082,1,61082
15/11/2025,18h,0L,136220,1,136220
15/11/2025,19h,10,0,0,0
15/11/2025,19h,9L,10,1192,11920
15/11/2025,19h,9,49,606.1,29698.9
